                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3498,                 1.3244,                 1.4975,                0.83599,                0.62858,                 0.7293,                0.40286,                 1.5763,                 1.2163,                 1.6898,              0.0008416,              0.0008416,              0.0008416
                     35,                 1.3343,                 1.2913,                 1.4813,                0.81938,                0.67751,                0.78231,                0.45793,                 1.4727,                 1.1432,                 1.6159,             0.00083665,             0.00083665,             0.00083665
                     36,                 1.3298,                 1.3225,                  1.473,                   0.57,                0.88415,                0.80241,                0.45926,                 1.5005,                 1.1907,                 1.5477,              0.0008317,              0.0008317,              0.0008317
                     37,                 1.3383,                 1.3067,                 1.4753,                0.54675,                0.80858,                0.72981,                0.44114,                 1.4613,                 1.1744,                 1.5646,             0.00082675,             0.00082675,             0.00082675
                     38,                 1.3504,                 1.3195,                 1.4807,                0.56259,                0.75773,                0.69843,                0.39793,                 1.5681,                 1.2107,                 1.6122,              0.0008218,              0.0008218,              0.0008218
                     39,                 1.3036,                 1.2798,                  1.454,                0.56282,                0.79564,                0.71654,                0.42123,                 1.5191,                 1.1349,                 1.6063,             0.00081685,             0.00081685,             0.00081685
                     40,                 1.3054,                 1.2614,                 1.4663,                0.72695,                0.62715,                0.71977,                0.40213,                 1.5261,                 1.2753,                 1.6782,              0.0008119,              0.0008119,              0.0008119
                     41,                 1.3207,                 1.2603,                 1.4591,                0.68138,                0.67704,                0.71606,                0.38525,                 1.5579,                 1.2541,                 1.6806,             0.00080695,             0.00080695,             0.00080695
                     42,                 1.3217,                  1.275,                 1.4815,                0.61963,                0.77333,                0.74159,                0.45091,                 1.4549,                 1.0462,                 1.6667,               0.000802,               0.000802,               0.000802
                     43,                 1.3054,                 1.2641,                 1.4655,                0.77294,                0.69662,                0.73174,                0.42728,                 1.5235,                 1.1162,                 1.6456,             0.00079705,             0.00079705,             0.00079705
